spell_id,appointment_date,permno,gvkey,car_1_1_capm,car_3_3_capm,car_5_5_capm,bhar_1y_capm,bhar_3y_capm,car_1_1_ff3,car_3_3_ff3,car_5_5_ff3,bhar_1y_ff3,bhar_3y_ff3,car_1_1_ff5,car_3_3_ff5,car_5_5_ff5,bhar_1y_ff5,bhar_3y_ff5
1,1996-10-09,54594,001004,0.04491860363517452,0.07115981316805704,0.09659731333710128,-0.01502501593746719,-1.4687418759936077,0.04074383196529005,0.07380110308715543,0.09882541266220922,-0.2203959639346207,-1.1236576021808962,0.041712720934766426,0.07507124503766435,0.09968953314360396,-0.20765509516582004,-1.2158151285375547
4910,2007-12-19,78955,027925,0.06791403174559232,0.07627463153338836,0.0876506482843506,-0.046079615807716356,0.3445205093203267,0.02835082820658926,0.03854353744595742,0.06655588388629632,-0.13260591693382556,0.07916416253033343,0.031660560289927475,0.045931416506146086,0.07286909157819804,-0.028759666146842555,0.22550368963831102
4917,2006-10-01,78999,027937,0.08543985991262083,0.07108518539112627,0.08806998599930509,0.3528852509839334,0.1532884560350032,0.09668832086879271,0.0668313195501949,0.08290820116932732,0.18481777809115885,0.03040734215047297,0.10240750639625351,0.06962630926607144,0.08704212488759627,0.14271363128334758,0.018368477691626306
4918,2005-04-01,78999,027937,0.01796251424094083,0.03365588068059239,-0.029310619325036674,-0.36268426728671355,-0.6785959988801319,0.024811291934676495,0.039806622197430766,-0.025754783759819842,-0.3776318860297224,-0.8321934326717281,0.02523464277413266,0.03879654819605169,-0.026310474374660362,-0.30428446209351867,-0.7488424543512336
4919,1996-10-01,78999,027937,-0.1342501563118485,-0.09379467117309752,0.09554132389022271,-3.811285525757941,-100.64585434947008,-0.13960060447214903,-0.0938029841140047,0.09145460364644888,-5.002766608436021,-66.36056794448562,-0.14461498511435542,-0.09205254136406467,0.09110917406955966,-5.013503949575714,-33.009726728917364
4916,2002-01-01,79008,027930,-0.13751509470183643,0.05840288516344543,-0.11599106179783861,-3.901500107862075,,-0.15309348391839694,0.041254783816501085,-0.18627673771649444,-1.8089312647206768,,-0.14705932150206213,0.05655369922017402,-0.17757171022092805,-1.5152903946447975,
4914,2019-01-01,78975,027928,-0.02410442014994642,-0.0229402209850652,-0.018403270913927905,-0.4247547944698622,-1.4556971844321018,-0.006813486815064263,-0.00780481444470015,-0.013184743705832119,-0.41311067601389917,-1.1312479002694507,-0.00747811475764041,-0.011083833295417875,-0.01992196208743906,-0.43954306826601264,-1.1637654466454737
4913,2008-01-01,78975,027928,-0.003342203195220729,0.04099003701455377,0.033529278576866314,0.21743100658548176,1.0223620636810447,-0.005473186589614229,0.03425068107300256,0.030747613421715593,0.20273251339422793,1.0080397127008331,0.007469376651456359,0.04075713529155896,0.02857989032793745,0.06112980397167056,0.7149811649707251
4912,2000-01-01,78975,027928,0.08331147276236364,0.2940990524427006,0.39832227647538154,-0.36469612500802373,-0.19646425080008656,0.07647157017687935,0.2965578872167185,0.35306214757924936,0.2948112931552244,0.6340618598007848,0.029083639479838413,0.2910140850546141,0.3571334609800039,0.46872514046415126,0.7922924632939522
4911,2018-02-25,78955,027925,-0.010394224024808222,0.0359698187228661,0.014491871942107857,-0.042058535726822055,2.396362158824313,0.013511847486942053,0.01446446377486209,-0.014396208139775477,-0.33117155855224933,1.0775219533076936,0.01775794450189535,0.021161608338722278,0.00437982579595585,-0.3324092934689674,0.9907002068456179
4909,2013-02-01,78955,027925,0.02369234084511293,0.050808370939100685,0.004910549078705161,-0.2638837223359102,-0.7943621556137265,0.0013964379649890786,0.06295085032308138,0.01380129525674004,-0.5249483949224326,-0.7132055338948208,0.0015025754755890741,0.06525145592866713,0.0073707729549578604,-0.6558190855910927,-1.2756969796548305
4908,2000-04-01,78955,027925,0.034414655569545816,-0.08706829645923525,0.010992644409484775,0.2574853778627011,1.2863825983437611,0.11773608753453013,0.018677434211267135,0.16894701858819625,0.47740138238241747,1.38500125380155,0.11288433164362519,0.012499715673270129,0.16027812501545335,0.4564617979249627,1.3785025254127174
4921,1996-09-01,79007,027938,0.0016089043885553482,0.0058744801454824235,0.1514402429469961,0.7658293121794093,0.648728605436635,-0.003053486080902822,-0.006621198857958263,0.14083996861055031,0.5992038584011938,1.040263255376131,-0.0022840042682696505,-0.003755018318076133,0.1433288605659474,0.5488124684677915,1.0063999127605407
4907,2024-07-01,48653,027914,0.03886126325562606,0.047915085657209686,0.06684561525965534,,,0.0441924938792231,0.04526781282910544,0.06484734621408303,,,0.045252386841367676,0.0450147104007456,0.061539937858375436,,
4906,2013-01-01,48653,027914,-0.05030780330218732,-0.03146476988451691,-0.025587281877620122,0.5819157777927826,2.1243247040713644,-0.05053207258041988,-0.02949691230658584,-0.022647873832888774,0.6169583199605178,2.1901820620587404,-0.0537128659225946,-0.029807321020621596,-0.020363439957464355,0.6269987877963494,2.249658567620336
4905,2000-02-01,48653,027914,0.08364661356120262,0.08229593387102871,0.05812395464451691,1.1567232899849071,1.058131530828379,0.07703874795170784,0.0924588184313432,0.0873394869982021,0.8771826664613445,0.9772330703426734,0.07302548467385035,0.09255324677012158,0.0834074527239336,0.964560399028464,1.0308544267729813
4903,1998-11-01,79009,027903,0.26671230248061534,0.35388527412582815,0.3184638471699125,2.780465623104056,0.36846734276022547,0.2563225918139699,0.3389735447370432,0.2211152737377599,2.271868511333426,0.24066296336990564,0.25902006506896796,0.3451431357535636,0.22185117129325382,2.3555632987929505,0.27989892389500626
